epoch,accuracy,loss,top3,val_accuracy,val_loss,val_top3
0,0.30439379811286926,1.7428233623504639,0.7087507843971252,0.38213399052619934,1.6659084558486938,0.7820512652397156
1,0.4451236426830292,1.5306490659713745,0.8212152123451233,0.4619520306587219,1.5397412776947021,0.8337469100952148
2,0.525829553604126,1.3841785192489624,0.8782057166099548,0.5004135370254517,1.4870914220809937,0.8668320775032043
3,0.563287079334259,1.3092949390411377,0.9024267196655273,0.48263028264045715,1.4404703378677368,0.8808932900428772
4,0.5897141098976135,1.2585225105285645,0.9118025302886963,0.5947063565254211,1.2538117170333862,0.8937138319015503
5,0.6057541966438293,1.2143428325653076,0.9236602783203125,0.5909842848777771,1.2451627254486084,0.9127377867698669
6,0.6155896782875061,1.1866562366485596,0.9264638423919678,0.56782466173172,1.306262731552124,0.9052936434745789
7,0.6316757202148438,1.1561568975448608,0.9320250153541565,0.6029776930809021,1.230843186378479,0.9177005887031555
8,0.6387075781822205,1.1366790533065796,0.9370806217193604,0.6513647437095642,1.0987740755081177,0.9466501474380493
9,0.6463829278945923,1.12483549118042,0.9356098771095276,0.6298593878746033,1.1687418222427368,0.9230769276618958
10,0.6520819664001465,1.1078420877456665,0.9425958395004272,0.6443341374397278,1.1075732707977295,0.9358974099159241
11,0.6620553135871887,1.0941400527954102,0.9396543502807617,0.6186931133270264,1.190096139907837,0.9222497940063477
12,0.6647669672966003,1.0849390029907227,0.9441125392913818,0.6509512066841125,1.098576545715332,0.9425144791603088
13,0.6665593981742859,1.081346035003662,0.945077657699585,0.6530190110206604,1.0743052959442139,0.9491314888000488
14,0.6659619212150574,1.0760608911514282,0.9471918344497681,0.6406120657920837,1.126552700996399,0.9379652738571167
15,0.6758893132209778,1.0671995878219604,0.946272611618042,0.6658395528793335,1.0693211555480957,0.9445822834968567
16,0.6757514476776123,1.0596860647201538,0.9492600560188293,0.6774193644523621,1.053191900253296,0.9454094171524048
17,0.6797040104866028,1.0476367473602295,0.9510524868965149,0.6799007654190063,1.0419554710388184,0.9516128897666931
18,0.6855409741401672,1.0403978824615479,0.9512363076210022,0.6819685697555542,1.036699891090393,0.9483043551445007
19,0.6849894523620605,1.0393500328063965,0.9520636200904846,0.7063689231872559,1.0159804821014404,0.9528536200523376
20,0.6904586553573608,1.0365666151046753,0.9501792192459106,0.6865177750587463,1.0170925855636597,0.9487179517745972
21,0.6861844062805176,1.0341277122497559,0.9508686661720276,0.6782464981079102,1.0574085712432861,0.9499586224555969
22,0.6947789192199707,1.0200824737548828,0.9520636200904846,0.6732836961746216,1.0477725267410278,0.947063684463501
23,0.6940895318984985,1.0212961435317993,0.9550050497055054,0.673697292804718,1.0812820196151733,0.9408602118492126
24,0.6959279179573059,1.014725685119629,0.9536722302436829,0.6881720423698425,1.0216482877731323,0.9540942907333374
